date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-03-27,mis_rep,1000,317,0.0,1.0,0.52,2010,1009,-1.11
2025-03-27,mis_rep,1000,318,0.0,1.0,0.52,2004,536,-1.26
2025-03-27,mis_rep,1000,319,0.0,1.0,0.52,2005,642,-1.14
2025-03-27,mis_rep,1000,320,0.0,1.0,0.52,2008,626,-1.24
2025-03-27,mis_rep,1000,321,0.0,1.0,0.52,2006,569,-1.13
2025-03-27,mis_rep,1000,322,0.0,1.0,0.52,2004,414,-1.29
2025-03-27,mis_rep,1000,323,0.0,1.0,0.52,2006,379,-1.29
2025-03-27,mis_rep,1000,324,0.0,1.0,0.52,2001,413,-1.27
2025-03-27,mis_rep,1000,325,0.0,1.0,0.52,2002,481,-1.24
2025-03-27,mis_rep,1000,326,0.0,1.0,0.52,2003,587,-1.34
2025-03-27,mis_rep,1000,327,0.0,1.0,0.52,2008,498,-1.41
2025-03-27,mis_rep,1000,328,0.0,1.0,0.52,2009,562,-1.24
2025-03-27,mis_rep,1000,329,0.0,1.0,0.52,2003,468,-1.08
2025-03-27,mis_rep,1000,330,0.0,1.0,0.52,2007,530,-1.19
2025-03-27,mis_rep,1000,331,0.0,1.0,0.52,2009,414,-1.15
2025-03-27,mis_rep,1000,332,0.0,1.0,0.52,2008,336,-1.16
2025-03-27,mis_rep,1000,333,0.0,1.0,0.52,2007,528,-1.21
2025-03-27,mis_rep,1000,334,0.0,1.0,0.52,2009,920,-0.98
2025-03-27,mis_rep,1000,335,0.0,1.0,0.52,2009,515,-1.15
2025-03-27,mis_rep,1000,336,0.0,1.0,0.52,2002,430,-1.08
2025-03-27,mis_rep,1000,337,0.0,1.0,0.52,2001,569,-1.16
2025-03-27,mis_rep,1000,338,0.0,1.0,0.52,2003,555,-0.91
2025-03-27,mis_rep,1000,339,0.0,1.0,0.52,2004,515,-0.89
2025-03-27,mis_rep,1000,340,0.0,1.0,0.52,2002,406,-1.49
2025-03-27,mis_rep,1000,341,-90.0,1.0,0.52,2001,1126,2.23
2025-03-27,mis_rep,1000,342,90.0,1.0,0.52,2001,419,-0.65
2025-03-27,mis_rep,1000,343,150.0,1.0,0.52,2009,707,0.72
2025-03-27,mis_rep,1000,344,-30.0,1.0,0.52,2007,819,-2.52
