condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,1002,72,2,100,56.68,41.67,0.06,0.65,100,2024,Correct
incongruent_pointer_middle,1002,73,1,102,54.56,78.02,0.06,1.23,106,3424,Incorrect
incongruent_pointer_middle,1002,74,2,100,88.35,63.75,0.1,1.0,100,19162,Correct
incongruent_pointer_middle,1002,75,2,100,67.55,35.69,0.08,0.56,107,5387,Incorrect
incongruent_pointer_middle,1002,76,2,100,44.69,27.52,0.05,0.43,100,3279,Correct
incongruent_pointer_middle,1002,77,1,102,60.24,72.26,0.07,1.14,106,3911,Incorrect
incongruent_pointer_middle,1002,78,1,106,73.9,47.78,0.08,0.75,106,684,Correct
incongruent_pointer_middle,1002,79,2,100,71.17,44.82,0.08,0.7,100,4394,Correct
incongruent_pointer_middle,1002,80,1,102,25.51,48.96,0.03,0.77,102,4376,Correct
incongruent_pointer_middle,1002,81,2,107,47.54,57.98,0.05,0.91,100,3373,Incorrect
incongruent_pointer_middle,1002,82,1,102,61.7,80.67,0.07,1.27,102,3328,Correct
incongruent_pointer_middle,1002,83,1,102,30.35,46.21,0.03,0.73,106,5347,Incorrect
incongruent_pointer_middle,1002,84,2,100,56.06,39.21,0.06,0.62,100,6678,Correct
incongruent_pointer_middle,1002,85,2,107,28.75,53.35,0.03,0.84,107,1205,Correct
incongruent_pointer_middle,1002,86,2,100,37.87,13.06,0.04,0.21,107,946,Incorrect
incongruent_pointer_middle,1002,87,1,106,68.44,40.25,0.08,0.63,106,2099,Correct
incongruent_pointer_middle,1002,88,1,106,52.77,32.79,0.06,0.51,106,1357,Correct
incongruent_pointer_middle,1002,89,2,107,18.27,41.09,0.02,0.65,107,1402,Correct
incongruent_pointer_middle,1002,90,2,100,79.01,49.05,0.09,0.77,107,2461,Incorrect
incongruent_pointer_middle,1002,91,2,107,69.65,87.15,0.08,1.37,107,3042,Correct
incongruent_pointer_middle,1002,92,2,100,84.62,61.25,0.09,0.96,100,1522,Correct
incongruent_pointer_middle,1002,93,2,100,47.98,38.27,0.05,0.6,100,3969,Correct
incongruent_pointer_middle,1002,94,2,100,59.08,51.22,0.07,0.8,100,2271,Correct
incongruent_pointer_middle,1002,95,1,102,53.87,62.37,0.06,0.98,102,3026,Correct
incongruent_pointer_middle,1002,96,1,106,54.12,34.29,0.06,0.54,106,2248,Correct
incongruent_pointer_middle,1002,97,1,106,65.11,44.87,0.07,0.7,106,16874,Correct
incongruent_pointer_middle,1002,98,1,102,21.89,38.67,0.02,0.61,102,18435,Correct
incongruent_pointer_middle,1002,99,1,102,53.4,65.4,0.06,1.03,106,8059,Incorrect
incongruent_pointer_middle,1002,100,2,100,40.45,14.5,0.05,0.23,100,1808,Correct
incongruent_pointer_middle,1002,101,1,102,33.42,66.17,0.04,1.04,102,6434,Correct
incongruent_pointer_middle,1002,102,2,107,58.12,75.01,0.07,1.18,107,9692,Correct
